,id,name,contract_years,total_value,gtd_start,gtd_total,year,position,height,weight,forty,vertical,bench,broad_jump,three_cone,shuttle,pick_number
0,11,Nelson Agholor,4,9377374,8520507,8520507,2015,WR,72,198,4.42000000,,12.0,,,,20.0
1,10,Arik Armstead,4,9842630,9842630,9842630,2015,DE,79,292,5.06000000,34.00000000,24.0,117.0,7.57000000,4.53000000,17.0
2,6,Vic Beasley,4,14495228,14495228,14495228,2015,OLB,75,246,4.53000000,41.00000000,35.0,130.0,6.91000000,4.15000000,8.0
3,3,Amari Cooper,4,22663116,22663116,22663116,2015,WR,73,211,4.42000000,33.00000000,,120.0,6.71000000,3.98000000,4.0
4,9,Melvin Gordon,4,10669773,10669773,10669773,2015,RB,73,215,4.52000000,35.00000000,19.0,126.0,7.04000000,4.07000000,15.0
5,13,D.J. Humphries,4,8912112,7261824,7261824,2015,OT,77,307,5.12000000,31.00000000,26.0,104.0,7.87000000,4.64000000,24.0
6,14,Byron Jones,4,8601941,6993950,6993950,2015,CB,73,199,4.43000000,44.50000000,,147.0,6.78000000,3.94000000,27.0
7,2,Marcus Mariota,4,24213974,24213974,24213974,2015,QB,76,222,4.52000000,36.00000000,,121.0,6.87000000,4.11000000,2.0
8,8,Andrus Peat,4,11393496,11393496,11393496,2015,OT,79,313,5.18000000,31.00000000,,105.0,8.01000000,4.62000000,13.0
9,15,Damarious Randall,4,7915734,5966315,5966315,2015,FS,71,196,4.46000000,38.00000000,14.0,120.0,6.83000000,4.07000000,30.0
10,4,Brandon Scherff,4,21215638,21215638,21215638,2015,OT,77,319,5.05000000,,23.0,,,,5.0
11,7,Trae Waynes,4,12944368,12944368,12944368,2015,CB,72,186,4.31000000,38.00000000,19.0,122.0,7.06000000,4.39000000,11.0
12,5,Leonard Williams,4,18630866,18630866,18630866,2015,DT,77,302,4.97000000,29.50000000,,106.0,7.59000000,4.53000000,6.0
13,1,Jameis Winston,4,25351277,25351277,25351277,2015,QB,76,231,4.97000000,28.50000000,,103.0,7.16000000,4.36000000,1.0
14,48,Mackensie Alexander,4,4316304,1985326,1985326,2016,CB,70,190,4.43000000,,11.0,,,,54.0
15,22,Eli Apple,4,15152320,15152320,15152320,2016,CB,73,199,4.40000000,,13.0,,,,10.0
16,50,Vonn Bell,4,3972299,1088945,1088945,2016,FS,71,199,4.52000000,,16.0,,,,61.0
17,83,Andrew Billings,4,2875845,535845,535845,2016,DT,73,311,5.05000000,27.50000000,31.0,113.0,8.05000000,4.82000000,122.0
18,93,Ronald Blair,4,2610405,270405,270405,2016,DE,74,284,5.15000000,30.00000000,32.0,113.0,7.95000000,4.53000000,142.0
19,122,Austin Blythe,4,2401989,61989,61989,2016,C,74,298,5.36000000,27.50000000,29.0,99.0,7.52000000,4.53000000,248.0
20,91,Devontae Booker,4,2723393,383393,383393,2016,RB,71,219,4.56000000,,22.0,,,,136.0
21,16,Joey Bosa,4,25873685,25873685,25873685,2016,DE,77,269,4.86000000,32.00000000,24.0,120.0,6.89000000,4.21000000,3.0
22,51,James Bradberry,4,3960836,1710646,1710646,2016,CB,73,211,4.50000000,36.00000000,16.0,124.0,6.91000000,4.21000000,62.0
23,102,Kentrell Brothers,4,2572681,232681,232681,2016,OLB,72,245,4.89000000,28.50000000,19.0,110.0,6.99000000,4.11000000,160.0
24,108,Anthony Brown,4,2474947,134947,134947,2016,CB,71,192,4.33000000,35.00000000,19.0,115.0,7.03000000,4.19000000,189.0
25,19,DeForest Buckner,4,18190995,18190995,18190995,2016,DE,79,291,5.05000000,32.00000000,,116.0,7.51000000,4.47000000,7.0
26,56,Jonathan Bullard,4,3413520,826520,826520,2016,DE,75,285,4.93000000,32.00000000,23.0,116.0,7.31000000,4.56000000,72.0
27,34,Artie Burns,4,9590981,7383120,7383120,2016,CB,72,193,4.46000000,31.50000000,,,,,25.0
28,85,Deon Bush,4,2866218,526218,526218,2016,FS,72,199,4.64000000,36.00000000,17.0,123.0,,,124.0
29,36,Vernon Butler,4,8396514,7946514,7946514,2016,DT,76,323,5.33000000,29.50000000,26.0,104.0,7.82000000,4.76000000,30.0
30,80,De'Vondre Campbell,4,2905528,565528,565528,2016,OLB,76,232,4.58000000,34.00000000,16.0,116.0,,,115.0
31,61,Le'Raven Clark,4,3142732,733732,733732,2016,OT,77,316,5.16000000,,18.0,,,,82.0
32,35,Kenny Clark,4,9361646,7185058,7185058,2016,DT,75,314,5.06000000,28.50000000,29.0,102.0,,4.62000000,27.0
33,58,Shon Coleman,4,3278816,787536,787536,2016,OT,77,307,5.18000000,,22.0,,,,76.0
34,54,Maliek Collins,4,3550180,881152,881152,2016,DT,74,311,5.03000000,29.50000000,25.0,109.0,7.53000000,4.52000000,67.0
35,20,Jack Conklin,4,15897658,15447658,15447658,2016,OT,78,308,5.00000000,30.00000000,25.0,103.0,7.63000000,4.57000000,8.0
36,111,Cody Core,4,2467932,127932,127932,2016,WR,75,205,4.47000000,31.50000000,14.0,119.0,,,199.0
37,42,Kamalei Correa,4,5749639,3092902,3092902,2016,DE,75,243,4.69000000,33.00000000,21.0,108.0,,,42.0
38,49,Sean Davis,4,4086970,1808113,1808113,2016,CB,73,201,4.46000000,37.50000000,21.0,126.0,6.64000000,3.97000000,58.0
39,74,Sheldon Day,4,2948410,608410,608410,2016,DT,73,293,5.07000000,30.00000000,21.0,102.0,7.44000000,4.50000000,103.0
40,27,Taylor Decker,4,10966980,10966980,10966980,2016,OT,79,310,5.23000000,29.00000000,20.0,101.0,7.70000000,4.76000000,16.0
41,57,Kenyan Drake,4,3381260,821260,821260,2016,RB,73,210,4.45000000,34.50000000,10.0,123.0,7.04000000,4.21000000,73.0
42,118,Lachlan Edwards,4,2415795,75795,75795,2016,P,76,209,4.98000000,,,,,,
43,62,Kyler Fackrell,4,3134328,694048,694048,2016,OLB,77,245,4.72000000,34.50000000,15.0,121.0,,,88.0
44,21,Leonard Floyd,4,15782861,15332861,15332861,2016,OLB,78,244,4.60000000,39.50000000,,127.0,,,9.0
45,114,Kavon Frazier,4,2440356,100356,100356,2016,FS,72,217,4.53000000,,18.0,,,,212.0
46,64,Kendall Fuller,4,3123424,718424,718424,2016,CB,71,187,4.48000000,,15.0,,,,84.0
47,32,Will Fuller,4,10164313,9409270,9409270,2016,WR,72,186,4.32000000,33.50000000,10.0,126.0,6.93000000,4.27000000,21.0
48,71,Graham Glasgow,4,3037920,645420,645420,2016,C,78,307,5.13000000,25.00000000,23.0,106.0,7.63000000,4.63000000,95.0
49,77,B.J. Goodson,4,2922207,582207,582207,2016,OLB,73,242,4.69000000,34.50000000,30.0,118.0,7.05000000,4.51000000,109.0
50,52,Adam Gotsis,4,3937904,2012926,2012926,2016,DT,76,287,4.88000000,,,,,,63.0
51,99,Joe Haeg,4,2582410,242410,242410,2016,OT,78,304,5.16000000,27.50000000,,111.0,7.47000000,4.47000000,155.0
52,65,Javon Hargrave,4,3114256,693256,693256,2016,DT,73,309,4.93000000,34.50000000,29.0,109.0,7.90000000,4.70000000,89.0
53,84,Jerald Hawkins,4,2870488,530488,530488,2016,OT,78,305,5.23000000,23.50000000,23.0,100.0,8.19000000,4.89000000,123.0
54,39,Hunter Henry,4,6380307,3981034,3981034,2016,TE,77,250,4.79000000,,13.0,,,,35.0
55,44,Derrick Henry,4,5407928,2828853,2828853,2016,RB,75,247,4.54000000,37.00000000,22.0,130.0,7.20000000,4.38000000,45.0
56,60,Austin Hooper,4,3213428,773428,773428,2016,TE,76,254,4.72000000,33.00000000,19.0,117.0,7.00000000,4.32000000,81.0
57,97,Jordan Howard,4,2588022,248022,248022,2016,RB,72,230,4.57000000,34.00000000,16.0,122.0,,,150.0
58,37,Germain Ifedi,4,8265105,6238046,6238046,2016,OT,78,324,5.27000000,32.50000000,24.0,109.0,,4.75000000,31.0
59,33,William Jackson III,4,9705644,7482147,7482147,2016,CB,72,189,4.37000000,,10.0,116.0,,,24.0
60,23,Vernon Hargreaves III,4,14177661,14177661,14177661,2016,CB,70,204,4.50000000,39.00000000,15.0,130.0,,3.98000000,11.0
61,63,Jordan Jenkins,4,3123920,723920,723920,2016,OLB,75,259,4.80000000,36.50000000,16.0,121.0,,,83.0
62,43,Austin Johnson,4,5662229,3025359,3025359,2016,DT,76,314,5.32000000,26.00000000,25.0,96.0,7.84000000,4.75000000,43.0
63,40,Chris Jones,4,6231229,3440039,3440039,2016,DT,78,310,5.03000000,24.50000000,26.0,106.0,7.44000000,4.62000000,37.0
64,26,Karl Joseph,4,11884317,11434317,11434317,2016,SS,70,205,4.57000000,,,,,,14.0
65,96,Matt Judon,4,2595736,255736,255736,2016,DE,75,275,4.73000000,35.00000000,30.0,109.0,7.67000000,4.52000000,146.0
66,119,Jayron Kearse,4,2404224,64224,64224,2016,SS,76,216,4.62000000,31.50000000,16.0,124.0,7.06000000,,244.0
67,29,Ryan Kelly,4,10450983,10450983,10450983,2016,C,76,311,5.03000000,30.00000000,26.0,103.0,7.58000000,4.59000000,18.0
68,78,Miles Killebrew,4,2918564,578564,578564,2016,SS,74,217,4.65000000,38.00000000,22.0,127.0,6.93000000,4.18000000,111.0
69,79,Nick Kwiatkoski,4,2915120,575120,575120,2016,ILB,74,243,4.73000000,32.00000000,19.0,120.0,7.16000000,4.22000000,113.0
70,30,Shaq Lawson,4,10278977,9828976,9828976,2016,DE,75,269,4.70000000,33.00000000,,120.0,7.16000000,4.21000000,19.0
71,31,Darron Lee,4,10221648,7927787,7927787,2016,OLB,73,232,4.47000000,35.50000000,17.0,133.0,7.12000000,4.20000000,20.0
72,87,Alex Lewis,4,2831897,491897,491897,2016,OT,78,312,5.22000000,29.50000000,27.0,100.0,7.94000000,4.72000000,130.0
73,89,Blake Martinez,4,2723393,383393,383393,2016,ILB,74,237,4.71000000,28.50000000,22.0,113.0,6.98000000,4.20000000,131.0
74,121,Tyler Matakevich,4,2403050,63050,63050,2016,OLB,72,238,4.81000000,31.00000000,22.0,112.0,7.19000000,4.50000000,246.0
75,95,Connor McGovern,4,2603900,263900,263900,2016,OG,76,306,5.11000000,33.00000000,33.0,109.0,7.50000000,4.65000000,144.0
76,117,Jalen Mills,4,2416856,76856,76856,2016,SS,72,191,4.61000000,37.00000000,16.0,123.0,6.86000000,4.00000000,233.0
77,75,Chris Moore,4,2936360,596360,596360,2016,WR,73,206,4.53000000,37.00000000,10.0,130.0,6.76000000,4.20000000,107.0
78,107,David Morgan,4,2475457,106200,106200,2016,TE,76,262,,,,,,,188.0
79,73,Eric Murray,4,2967303,599803,599803,2016,CB,71,199,4.49000000,39.50000000,15.0,124.0,7.08000000,4.05000000,106.0
80,53,Carl Nassib,4,3598862,889752,889752,2016,DE,79,277,4.84000000,28.50000000,21.0,114.0,7.27000000,4.37000000,65.0
81,28,Keanu Neal,4,10737645,10737645,10737645,2016,SS,72,211,4.62000000,38.00000000,17.0,132.0,7.09000000,4.38000000,17.0
82,55,Yannick Ngakoue,4,3480587,856176,856176,2016,DE,74,252,4.75000000,34.50000000,26.0,118.0,7.35000000,4.50000000,69.0
83,38,Emmanuel Ogbah,4,6609641,4357450,4357450,2016,DE,76,273,4.63000000,35.50000000,20.0,121.0,7.26000000,4.50000000,32.0
84,90,Dak Prescott,4,2723393,383393,383393,2016,QB,74,226,4.79000000,32.50000000,,116.0,7.11000000,4.32000000,135.0
85,66,C.J. Prosise,4,3112464,692464,692464,2016,RB,72,220,4.48000000,35.50000000,,121.0,,,90.0
86,41,Reggie Ragland,4,5841370,3163786,3163786,2016,ILB,73,247,4.72000000,31.50000000,,116.0,,4.28000000,41.0
87,17,Jalen Ramsey,4,23351000,22901000,22901000,2016,CB,73,209,4.41000000,41.50000000,14.0,135.0,6.94000000,4.18000000,5.0
88,24,Sheldon Rankins,4,12801648,12801648,12801648,2016,DT,73,299,5.03000000,34.50000000,28.0,118.0,7.44000000,4.59000000,12.0
89,104,D.J. Reader,4,2555380,215380,215380,2016,DT,75,327,5.33000000,29.50000000,30.0,99.0,7.90000000,4.71000000,166.0
90,47,Jarran Reed,4,4889637,2428355,2428355,2016,DT,75,307,5.21000000,31.00000000,,104.0,7.77000000,4.75000000,49.0
91,81,Hassan Ridgeway,4,2900222,560222,560222,2016,DT,75,303,5.02000000,32.00000000,24.0,113.0,8.28000000,4.82000000,116.0
92,86,Demarcus Robinson,4,2857172,517172,517172,2016,WR,73,203,4.59000000,34.50000000,,123.0,6.77000000,4.19000000,126.0
93,45,A'Shawn Robinson,4,5233635,2694172,2694172,2016,DT,76,307,5.20000000,26.00000000,22.0,106.0,7.80000000,4.74000000,46.0
94,72,Joe Schobert,4,2973956,633956,633956,2016,OLB,73,244,4.76000000,33.50000000,22.0,111.0,7.11000000,4.30000000,99.0
95,92,Tajae Sharpe,4,2614884,274884,274884,2016,WR,74,194,4.55000000,33.50000000,11.0,114.0,,,140.0
96,101,Brandon Shell,4,2575966,235966,235966,2016,OT,77,324,5.22000000,30.50000000,22.0,112.0,,,158.0
97,69,Justin Simmons,4,3069552,645420,645420,2016,FS,74,202,4.61000000,40.00000000,16.0,126.0,6.58000000,3.85000000,98.0
98,100,LeShaun Sims,4,2578186,238186,238186,2016,CB,72,203,4.53000000,37.00000000,11.0,120.0,7.08000000,4.19000000,157.0
99,98,Wendell Smallwood,4,2584578,244578,244578,2016,RB,70,208,4.47000000,33.50000000,14.0,120.0,6.83000000,4.28000000,153.0
100,76,Ryan Smith,4,2932161,592161,592161,2016,CB,71,189,4.47000000,36.00000000,18.0,122.0,6.88000000,4.09000000,108.0
101,46,Jason Spriggs,4,5004293,2516954,2516954,2016,OT,78,301,4.94000000,31.50000000,31.0,115.0,7.70000000,4.44000000,48.0
102,18,Ronnie Stanley,4,20484331,20034331,20034331,2016,OT,78,312,5.20000000,28.50000000,,,8.03000000,4.90000000,6.0
103,59,Joe Thuney,4,3213428,773428,773428,2016,OT,77,304,4.95000000,28.50000000,28.0,110.0,7.47000000,4.54000000,78.0
104,25,Laremy Tunsil,4,12457650,12457650,12457650,2016,OT,77,310,5.23000000,,,,,,13.0
105,103,Halapoulivaati Vaitai,4,2565125,225125,225125,2016,OT,78,320,5.26000000,29.00000000,23.0,113.0,8.26000000,5.00000000,164.0
106,70,Nick Vannett,4,3056880,656880,656880,2016,TE,78,257,4.76000000,30.50000000,17.0,111.0,7.05000000,4.20000000,94.0
107,67,Nick Vigil,4,3110629,695629,695629,2016,ILB,74,239,4.72000000,31.50000000,,115.0,6.73000000,4.00000000,87.0
108,94,DeAndre Washington,4,2609195,269195,269195,2016,RB,68,204,4.49000000,34.50000000,24.0,116.0,7.03000000,4.20000000,143.0
109,68,Brandon Williams,4,3082696,672695,672695,2016,CB,71,197,4.37000000,30.50000000,18.0,118.0,6.85000000,4.19000000,92.0
110,200,Montravius Adams,4,3276776,744776,744776,2017,DT,76,304,4.87000000,29.00000000,22.0,108.0,7.62000000,4.89000000,93.0
111,128,Jamal Adams,4,22258738,22258738,22258738,2017,SS,72,214,4.56000000,31.50000000,18.0,120.0,6.96000000,4.13000000,6.0
112,139,Jonathan Allen,4,11596377,11596377,11596377,2017,DT,75,286,5.00000000,30.00000000,21.0,108.0,7.49000000,4.50000000,17.0
113,170,Ryan Anderson,4,5324723,2719559,2719559,2017,OLB,74,253,4.78000000,,,,,,49.0
114,195,Alex Anzalone,4,3465592,864592,864592,2017,OLB,75,241,4.63000000,30.50000000,16.0,116.0,6.88000000,4.25000000,76.0
115,179,Chidobe Awuzie,4,4283588,1255336,1255336,2017,CB,72,202,4.43000000,34.50000000,16.0,132.0,6.81000000,4.14000000,60.0
116,157,Budda Baker,4,6830005,3882732,3882732,2017,FS,70,195,4.45000000,32.50000000,15.0,115.0,6.76000000,4.08000000,36.0
117,136,Derek Barnett,4,12850772,12850772,12850772,2017,DE,75,259,4.88000000,31.00000000,,117.0,6.96000000,4.44000000,14.0
118,196,Tarell Basham,4,3355856,835856,835856,2017,DE,76,269,4.70000000,31.50000000,15.0,119.0,7.27000000,4.35000000,80.0
119,193,C.J. Beathard,4,3528646,706288,706288,2017,QB,74,219,,31.00000000,,113.0,,,104.0
120,211,Kendell Beckwith,4,3175288,706288,706288,2017,ILB,74,243,,,20.0,,,,107.0
121,142,Garrett Bolles,4,11031904,8597553,8597553,2017,OT,77,297,4.95000000,28.00000000,,115.0,7.29000000,4.55000000,20.0
122,275,Kendrick Bourne,3,1670000,25000,25000,2017,WR,73,203,4.68000000,34.00000000,9.0,125.0,6.73000000,4.21000000,
123,168,Tyus Bowser,4,5575610,3378426,3378426,2017,OLB,75,247,4.65000000,37.50000000,21.0,127.0,6.75000000,,47.0
124,264,Noah Brown,4,2471938,71938,71938,2017,WR,74,222,,,19.0,,7.07000000,4.33000000,239.0
125,242,Jayon Brown,4,2671553,271553,271553,2017,ILB,72,231,4.70000000,31.50000000,17.0,120.0,,,155.0
126,237,Jake Butt,4,2700938,300938,300938,2017,TE,77,246,,,,,,,145.0
127,265,Chris Carson,4,2465129,65129,65129,2017,RB,72,218,4.58000000,37.00000000,23.0,130.0,,,249.0
128,150,Taco Charlton,4,10028388,7730881,7730881,2017,DE,78,277,4.92000000,33.00000000,25.0,116.0,7.17000000,4.39000000,28.0
129,254,Chuck Clark,4,2574807,174807,174807,2017,FS,72,208,4.54000000,34.00000000,16.0,122.0,6.85000000,4.07000000,186.0
130,221,Tarik Cohen,4,3035658,635658,635658,2017,RB,66,179,4.42000000,31.50000000,11.0,118.0,,,119.0
131,146,Gareon Conley,4,10467424,8110048,8110048,2017,CB,72,195,4.44000000,37.00000000,11.0,129.0,6.68000000,4.18000000,24.0
132,212,James Conner,4,3161523,706288,706288,2017,RB,73,233,4.65000000,29.00000000,20.0,113.0,,,105.0
133,162,Dalvin Cook,4,6353334,3514395,3514395,2017,RB,70,210,4.49000000,30.50000000,22.0,116.0,7.27000000,4.53000000,41.0
134,176,Zach Cunningham,4,4471745,2060439,2060439,2017,OLB,75,234,4.67000000,35.00000000,15.0,125.0,7.03000000,4.29000000,57.0
135,227,Julien Davenport,4,2986420,586420,586420,2017,OT,79,318,5.45000000,27.00000000,18.0,106.0,7.57000000,4.69000000,
136,279,Keionta Davis,3,1665000,0,0,2017,DE,75,271,,,,,,,
137,143,Jarrad Davis,4,10969183,8543384,8543384,2017,ILB,73,238,,,,,,,21.0
138,127,Corey Davis,4,25394688,25394688,25394688,2017,WR,75,209,,,,,,,5.0
139,181,Dion Dawkins,4,4183239,1837503,1837503,2017,OG,76,314,5.11000000,26.00000000,26.0,106.0,7.30000000,4.78000000,63.0
140,226,Joshua Dobbs,4,2999124,599124,599124,2017,QB,75,216,4.64000000,33.00000000,,122.0,6.75000000,4.31000000,135.0
141,208,Rasul Douglas,4,3176038,706288,706288,2017,CB,74,209,4.59000000,33.50000000,16.0,120.0,6.97000000,4.26000000,99.0
142,188,Pat Elflein,4,3747840,936840,936840,2017,C,75,303,5.32000000,23.50000000,22.0,99.0,7.94000000,4.71000000,70.0
143,145,Evan Engram,4,10718304,10718304,10718304,2017,TE,75,234,4.42000000,36.00000000,19.0,125.0,6.92000000,4.23000000,23.0
144,171,Justin Evans,4,5199295,2622638,2622638,2017,SS,72,199,,,14.0,,,,50.0
145,165,Gerald Everett,4,6044469,3275726,3275726,2017,TE,75,239,4.62000000,37.50000000,22.0,126.0,6.99000000,4.33000000,44.0
146,189,Dan Feeney,4,3731632,924632,924632,2017,OG,76,305,5.24000000,28.00000000,26.0,101.0,7.52000000,4.68000000,71.0
147,261,Johnathan Ford,4,2540181,140181,140181,2017,FS,71,205,,,20.0,,,,
148,153,Reuben Foster,4,9035309,6873222,6873222,2017,ILB,72,229,,,,,,,31.0
149,126,Leonard Fournette,4,27150842,27150842,27150842,2017,RB,72,240,4.51000000,28.50000000,,,,,4.0
150,233,Wayne Gallman,4,2819648,419648,419648,2017,RB,72,215,4.60000000,29.50000000,21.0,120.0,7.17000000,4.28000000,140.0
151,123,Myles Garrett,4,30412255,30412255,30412255,2017,DE,76,272,4.64000000,41.00000000,33.0,128.0,,,1.0
152,222,Ben Gedeon,4,3033147,633147,633147,2017,ILB,74,244,4.75000000,34.50000000,27.0,119.0,6.98000000,4.13000000,120.0
153,232,Ryan Glasgow,4,2819648,419648,419648,2017,DT,75,302,5.13000000,27.50000000,20.0,105.0,7.55000000,4.50000000,138.0
154,199,Chris Godwin,4,3284164,792164,792164,2017,WR,73,209,4.42000000,36.00000000,19.0,126.0,7.01000000,4.00000000,84.0
155,206,Kenny Golladay,4,3196324,718824,718824,2017,WR,76,218,4.50000000,35.50000000,18.0,120.0,7.00000000,4.15000000,96.0
156,202,Shaquill Griffin,4,3258620,758620,758620,2017,CB,72,194,4.38000000,38.50000000,17.0,132.0,6.87000000,4.14000000,90.0
157,243,Nate Hairston,4,2667785,267785,267785,2017,CB,72,196,4.52000000,35.50000000,14.0,118.0,,,158.0
158,144,Charles Harris,4,10843739,10843739,10843739,2017,DE,75,253,4.82000000,32.00000000,21.0,109.0,7.47000000,4.42000000,22.0
